,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,18,19,0.7662585034013606,2.7399546485260773,45,43,85,2,1
1,18,293,0.7662585034013606,2.7631746031746034,45,17,288,2,275
2,18,306,0.7662585034013606,3.3668934240362813,45,19,309,3,288
3,18,446,0.7662585034013606,2.670294784580499,45,19,436,2,428
4,18,444,0.7662585034013606,3.3668934240362813,45,18,440,3,426
5,35,19,1.6021768707482993,2.7399546485260773,42,43,52,1,16
6,35,18,1.6021768707482993,3.4133333333333336,42,42,80,2,17
7,35,34,1.6021768707482993,4.272471655328799,42,43,115,3,1
8,35,293,1.6021768707482993,2.7631746031746034,42,17,263,1,258
9,35,306,1.6021768707482993,3.3668934240362813,42,19,281,2,271
10,35,446,1.6021768707482993,2.670294784580499,42,19,414,1,411
11,35,444,1.6021768707482993,3.3668934240362813,42,18,416,2,409
12,35,427,1.6021768707482993,4.040272108843538,42,20,406,2,392
13,19,34,2.7399546485260773,4.272471655328799,43,43,68,2,15
14,19,28,2.7399546485260773,5.596009070294785,43,45,123,3,9
15,19,297,2.7399546485260773,4.713650793650793,43,16,291,2,278
16,19,210,2.7399546485260773,5.410249433106576,43,29,223,3,191
17,19,427,2.7399546485260773,4.040272108843538,43,20,412,1,408
18,19,427,2.7399546485260773,5.38702947845805,43,22,424,3,408
19,18,28,3.4133333333333336,5.596009070294785,42,45,95,2,10
20,18,297,3.4133333333333336,4.713650793650793,42,16,285,1,279
21,18,210,3.4133333333333336,5.410249433106576,42,29,210,2,192
22,18,274,3.4133333333333336,6.130068027210885,42,23,281,3,256
23,18,427,3.4133333333333336,5.38702947845805,42,22,418,2,409
24,34,28,4.272471655328799,5.596009070294785,43,45,57,1,6
25,34,61,4.272471655328799,6.524807256235828,43,43,101,2,27
26,34,210,4.272471655328799,5.410249433106576,43,29,183,1,176
27,34,274,4.272471655328799,6.130068027210885,43,23,253,2,240
28,34,427,4.272471655328799,5.38702947845805,43,22,396,1,393
29,28,61,5.596009070294785,7.500045351473923,45,44,88,2,33
30,28,281,5.596009070294785,7.801904761904762,45,32,270,2,253
31,28,217,5.596009070294785,8.52172335600907,45,35,227,3,189
32,28,414,5.596009070294785,7.430385487528345,45,17,394,2,386
33,61,31,6.524807256235828,8.70748299319728,43,44,99,2,30
34,61,18,6.524807256235828,9.47374149659864,43,44,134,3,43
35,61,281,6.524807256235828,7.801904761904762,43,32,227,1,220
36,61,217,6.524807256235828,8.52172335600907,43,35,178,2,156
37,61,342,6.524807256235828,9.427301587301587,43,19,308,3,281
38,61,531,6.524807256235828,8.150204081632653,43,23,475,2,470
39,61,445,6.524807256235828,9.427301587301587,43,20,404,3,384
40,61,31,7.500045351473923,8.70748299319728,44,44,60,1,30
41,61,18,7.500045351473923,9.47374149659864,44,44,95,2,43
42,61,217,7.500045351473923,8.52172335600907,44,35,162,1,156
43,61,342,7.500045351473923,9.427301587301587,44,19,293,2,281
44,61,445,7.500045351473923,9.427301587301587,44,20,393,2,384
45,31,82,8.70748299319728,10.797278911564627,44,43,103,2,51
46,31,61,8.70748299319728,11.261678004535147,44,46,114,3,30
47,31,395,8.70748299319728,10.95981859410431,44,23,377,2,364
48,31,292,8.70748299319728,11.052698412698414,44,24,280,2,261
49,31,505,8.70748299319728,10.95981859410431,44,26,484,2,474
50,31,443,8.70748299319728,11.470657596371883,44,18,429,3,412
51,18,82,9.47374149659864,10.797278911564627,44,43,86,1,64
52,18,61,9.47374149659864,11.261678004535147,44,46,88,2,43
53,18,20,9.47374149659864,12.283356009070294,44,43,121,3,2
54,18,395,9.47374149659864,10.95981859410431,44,23,382,1,377
55,18,292,9.47374149659864,11.052698412698414,44,24,282,2,274
56,18,505,9.47374149659864,10.95981859410431,44,26,491,1,487
57,18,443,9.47374149659864,11.470657596371883,44,18,434,2,425
58,18,427,9.47374149659864,12.120816326530612,44,20,425,3,409
59,82,20,10.797278911564627,12.283356009070294,43,43,89,1,62
60,82,18,10.797278911564627,13.514013605442177,43,45,133,3,64
61,82,219,10.797278911564627,12.84063492063492,43,16,163,2,137
62,82,268,10.797278911564627,13.746213151927439,43,22,225,3,186
63,82,427,10.797278911564627,12.120816326530612,43,20,350,1,345
64,82,541,10.797278911564627,13.467573696145125,43,23,473,3,459
65,61,20,11.261678004535147,12.283356009070294,46,43,60,1,41
66,61,18,11.261678004535147,13.514013605442177,46,45,106,2,43
67,61,219,11.261678004535147,12.84063492063492,46,16,172,2,158
68,61,268,11.261678004535147,13.746213151927439,46,22,233,2,207
69,61,268,11.261678004535147,14.09451247165533,46,20,240,3,207
70,61,541,11.261678004535147,13.467573696145125,46,23,489,2,480
71,20,18,12.283356009070294,13.514013605442177,43,45,53,1,2
72,20,24,12.283356009070294,14.280272108843537,43,43,86,2,4
73,20,35,12.283356009070294,15.069750566893424,43,38,121,3,15
74,20,268,12.283356009070294,13.746213151927439,43,22,256,1,248
75,20,268,12.283356009070294,14.09451247165533,43,20,260,2,248
76,20,436,12.283356009070294,14.814331065759637,43,20,430,3,416
77,18,35,13.514013605442177,15.069750566893424,45,38,69,2,17
78,18,264,13.514013605442177,15.905668934240364,45,18,267,2,246
79,18,274,13.514013605442177,16.23074829931973,45,30,281,3,256
80,18,436,13.514013605442177,14.814331065759637,45,20,422,1,418
81,18,443,13.514013605442177,15.51092970521542,45,18,434,2,425
82,18,427,13.514013605442177,16.16108843537415,45,21,425,3,409
83,24,61,14.280272108843537,16.532607709750568,43,46,104,2,37
84,24,264,14.280272108843537,15.905668934240364,43,18,250,2,240
85,24,274,14.280272108843537,16.23074829931973,43,30,264,2,250
86,24,443,14.280272108843537,15.51092970521542,43,18,422,1,419
87,24,427,14.280272108843537,16.16108843537415,43,21,411,2,403
88,35,61,15.069750566893424,16.532607709750568,38,46,68,1,26
89,35,61,15.069750566893424,17.34530612244898,38,45,101,2,26
90,35,274,15.069750566893424,16.23074829931973,38,30,244,1,239
91,35,277,15.069750566893424,17.902585034013605,38,29,271,3,242
92,35,427,15.069750566893424,16.16108843537415,38,21,395,1,392
93,35,436,15.069750566893424,17.507845804988662,38,21,415,2,401
94,61,31,16.532607709750568,18.52952380952381,46,45,91,2,30
95,61,277,16.532607709750568,17.902585034013605,46,29,224,1,216
96,61,218,16.532607709750568,18.83138321995465,46,32,186,2,157
97,61,216,16.532607709750568,19.272562358276645,46,34,195,3,155
98,61,416,16.532607709750568,18.784943310657596,46,24,368,2,355
99,61,31,17.34530612244898,18.52952380952381,45,45,59,1,30
100,61,31,17.34530612244898,19.644081632653062,45,44,103,2,30
101,61,18,17.34530612244898,20.24780045351474,45,43,132,3,43
102,61,218,17.34530612244898,18.83138321995465,45,32,170,1,157
103,61,216,17.34530612244898,19.272562358276645,45,34,176,2,155
