,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,8,36,1.8575963718820863,4.783310657596372,17,36,129,3,28
1,8,36,2.020136054421769,4.783310657596372,18,36,122,3,28
2,8,36,3.0650340136054424,4.783310657596372,17,36,79,2,28
3,8,36,3.0650340136054424,5.317369614512471,17,33,101,2,28
4,36,14,5.317369614512471,7.987664399092971,33,23,117,3,22
5,36,14,6.130068027210885,7.987664399092971,27,23,83,2,22
6,36,10,6.130068027210885,8.846802721088435,27,45,120,3,26
7,36,10,6.130068027210885,9.079002267573696,27,44,130,3,26
8,36,292,6.130068027210885,8.800362811791384,27,22,281,3,256
9,36,309,6.130068027210885,9.009342403628118,27,18,300,3,273
10,36,422,6.130068027210885,8.568163265306122,27,19,400,2,386
11,36,480,6.130068027210885,9.009342403628118,27,17,461,3,444
12,14,10,7.987664399092971,9.079002267573696,23,44,47,1,4
13,14,15,7.987664399092971,10.309659863945578,23,43,100,2,1
14,14,309,7.987664399092971,9.009342403628118,23,18,298,1,295
15,14,274,7.987664399092971,10.24,23,21,278,2,260
16,14,480,7.987664399092971,9.009342403628118,23,17,468,1,466
17,14,426,7.987664399092971,10.263219954648527,23,19,423,2,412
18,10,15,8.846802721088435,10.309659863945578,45,43,63,1,5
19,10,14,8.846802721088435,11.586757369614512,45,42,118,3,4
20,10,274,8.846802721088435,10.24,45,21,271,1,264
21,10,426,8.846802721088435,10.263219954648527,45,19,420,1,416
22,10,15,9.079002267573696,10.309659863945578,44,43,53,1,5
23,10,14,9.079002267573696,11.586757369614512,44,42,108,3,4
24,10,274,9.079002267573696,10.24,44,21,269,1,264
25,10,426,9.079002267573696,10.263219954648527,44,19,419,1,416
26,15,14,10.309659863945578,11.586757369614512,43,42,55,1,1
27,15,12,10.309659863945578,12.631655328798185,43,43,100,2,3
28,15,208,10.309659863945578,12.817414965986394,43,33,221,3,193
29,15,432,10.309659863945578,12.956734693877552,43,18,432,3,417
30,14,12,11.586757369614512,12.631655328798185,42,43,45,1,2
31,14,208,11.586757369614512,12.817414965986394,42,33,201,1,194
32,14,205,11.586757369614512,13.699773242630386,42,25,212,2,191
33,14,213,11.586757369614512,14.187392290249434,42,23,228,3,199
