,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,56,7,0.6501587301587302,2.670294784580499,46,44,100,2,49
1,56,251,0.6501587301587302,2.8792743764172335,46,27,217,2,195
2,56,237,0.6501587301587302,3.01859410430839,46,30,208,2,181
3,56,410,0.6501587301587302,1.9040362811791383,46,10,358,1,354
4,56,410,0.6501587301587302,2.8328344671201813,46,19,366,2,354
5,56,410,0.6501587301587302,3.1579138321995464,46,17,370,3,354
6,10,7,1.5557369614512473,2.670294784580499,49,44,48,1,3
7,10,9,1.5557369614512473,3.7616326530612247,49,47,95,2,1
8,10,251,1.5557369614512473,2.8792743764172335,49,27,248,1,241
9,10,237,1.5557369614512473,3.01859410430839,49,30,236,1,227
10,10,226,1.5557369614512473,4.156371882086168,49,15,243,3,216
11,10,410,1.5557369614512473,2.8328344671201813,49,19,404,1,400
12,10,410,1.5557369614512473,3.1579138321995464,49,17,406,2,400
13,7,9,2.670294784580499,3.7616326530612247,44,47,47,1,2
14,7,14,2.670294784580499,4.899410430839002,44,45,96,2,7
15,7,56,2.670294784580499,5.479909297052155,44,44,131,3,49
16,7,226,2.670294784580499,4.156371882086168,44,15,228,1,219
17,7,240,2.670294784580499,5.27092970521542,44,28,259,3,233
18,7,413,2.670294784580499,4.551111111111111,44,7,414,2,406
19,7,415,2.670294784580499,5.294149659863946,44,9,423,3,408
20,9,14,3.7616326530612247,4.899410430839002,47,45,49,1,5
21,9,56,3.7616326530612247,5.479909297052155,47,44,88,2,47
22,9,12,3.7616326530612247,5.990748299319728,47,44,96,2,3
23,9,240,3.7616326530612247,5.27092970521542,47,28,240,2,231
24,9,235,3.7616326530612247,6.013968253968254,47,29,246,2,226
25,9,415,3.7616326530612247,5.294149659863946,47,9,411,2,406
26,9,451,3.7616326530612247,5.990748299319728,47,11,452,2,442
27,14,12,4.899410430839002,5.990748299319728,45,44,47,1,2
28,14,8,4.899410430839002,7.174965986394558,45,46,98,2,6
29,14,235,4.899410430839002,6.013968253968254,45,29,226,1,221
30,14,301,4.899410430839002,7.546485260770975,45,21,309,3,287
31,14,451,4.899410430839002,5.990748299319728,45,11,440,1,437
32,14,430,4.899410430839002,7.546485260770975,45,10,431,3,416
33,56,8,5.479909297052155,7.174965986394558,44,46,87,2,48
34,56,11,5.479909297052155,8.359183673469389,44,47,132,3,45
35,56,301,5.479909297052155,7.546485260770975,44,21,261,2,245
36,56,213,5.479909297052155,8.266303854875284,44,21,198,3,157
37,56,430,5.479909297052155,7.546485260770975,44,10,384,2,374
38,12,8,5.990748299319728,7.174965986394558,44,46,51,1,4
39,12,11,5.990748299319728,8.359183673469389,44,47,102,2,1
40,12,301,5.990748299319728,7.546485260770975,44,21,297,2,289
41,12,213,5.990748299319728,8.266303854875284,44,21,224,2,201
42,12,430,5.990748299319728,7.546485260770975,44,10,423,2,418
43,12,416,5.990748299319728,8.661043083900227,44,8,420,3,404
44,8,11,7.174965986394558,8.359183673469389,46,47,51,1,3
45,8,11,7.174965986394558,9.566621315192744,46,47,103,2,3
46,8,213,7.174965986394558,8.266303854875284,46,21,210,1,205
47,8,391,7.174965986394558,9.961360544217687,46,26,401,3,383
48,8,391,7.174965986394558,9.984580498866213,46,32,402,3,383
49,8,416,7.174965986394558,8.661043083900227,46,8,413,1,408
50,8,495,7.174965986394558,9.798820861678005,46,20,500,3,487
