,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,4,19,1.207437641723356,2.36843537414966,39,19,52,1,15
1,4,34,1.207437641723356,3.6687528344671203,39,19,110,2,30
2,19,34,2.36843537414966,3.6687528344671203,19,19,58,1,15
3,19,6,2.36843537414966,4.667210884353741,19,39,100,2,13
4,19,14,2.36843537414966,5.038730158730159,19,32,115,3,5
5,19,397,2.36843537414966,4.760090702947846,19,12,392,2,378
6,19,497,2.36843537414966,4.690430839002268,19,11,488,2,478
7,34,14,3.6687528344671203,5.038730158730159,19,32,62,1,20
8,34,14,3.6687528344671203,6.060408163265306,19,30,105,2,20
9,34,397,3.6687528344671203,4.760090702947846,19,12,366,1,363
10,34,497,3.6687528344671203,4.690430839002268,19,11,465,1,463
11,6,14,4.667210884353741,6.060408163265306,39,30,61,1,8
12,14,6,5.038730158730159,7.964444444444444,32,38,126,3,8
13,14,6,6.060408163265306,7.964444444444444,30,38,82,2,8
14,14,5,6.060408163265306,8.266303854875284,30,41,95,2,9
15,14,403,6.060408163265306,8.219863945578231,30,20,400,2,389
16,6,9,7.964444444444444,9.961360544217687,38,38,86,2,3
17,6,211,7.964444444444444,9.961360544217687,38,17,222,2,205
18,6,211,7.964444444444444,10.193560090702949,38,16,226,2,205
19,5,9,8.266303854875284,9.961360544217687,41,38,73,2,4
20,5,6,8.266303854875284,10.402539682539683,41,38,92,2,1
21,5,211,8.266303854875284,9.961360544217687,41,17,219,2,206
22,5,211,8.266303854875284,10.193560090702949,41,16,222,2,206
23,9,7,9.961360544217687,11.72607709750567,38,38,76,2,2
24,9,6,9.961360544217687,12.60843537414966,38,39,114,3,3
25,9,266,9.961360544217687,11.54031746031746,38,17,266,2,257
26,9,237,9.961360544217687,12.631655328798185,38,16,255,3,228
27,6,7,10.402539682539683,11.72607709750567,38,38,57,1,1
28,6,266,10.402539682539683,11.54031746031746,38,17,265,1,260
29,6,237,10.402539682539683,12.631655328798185,38,16,250,2,231
30,7,10,11.72607709750567,14.349931972789117,38,38,113,3,3
31,7,211,11.72607709750567,13.722993197278912,38,17,221,2,204
32,7,235,11.72607709750567,14.210612244897959,38,16,252,2,228
33,6,10,12.60843537414966,14.349931972789117,39,38,75,2,4
34,6,4,12.60843537414966,15.32517006802721,39,40,117,3,2
35,6,211,12.60843537414966,13.722993197278912,39,17,211,1,205
36,6,235,12.60843537414966,14.210612244897959,39,16,239,2,229
37,6,211,12.60843537414966,15.464489795918368,39,16,239,3,205
38,7,4,13.490793650793652,15.32517006802721,38,40,79,2,3
39,7,10,13.490793650793652,16.114648526077097,38,39,113,3,3
40,7,211,13.490793650793652,15.464489795918368,38,16,221,2,204
41,7,211,13.490793650793652,16.23074829931973,38,17,236,3,204
42,7,425,13.490793650793652,15.603809523809524,38,13,428,2,418
43,10,211,14.349931972789117,15.464489795918368,38,16,207,1,201
44,10,211,14.349931972789117,16.23074829931973,38,17,217,2,201
45,10,425,14.349931972789117,15.603809523809524,38,13,418,1,415
46,4,271,15.32517006802721,17.949024943310658,40,18,290,3,267
47,4,424,15.32517006802721,17.34530612244898,40,13,429,2,420
48,10,4,16.114648526077097,17.972244897959182,39,38,80,2,6
49,10,4,16.114648526077097,18.854603174603174,39,39,118,3,6
50,10,271,16.114648526077097,17.949024943310658,39,18,273,2,261
51,10,299,16.114648526077097,19.040362811791383,39,17,315,3,289
52,10,424,16.114648526077097,17.34530612244898,39,13,417,1,414
53,4,7,17.972244897959182,19.667301587301587,38,38,73,2,3
54,4,299,17.972244897959182,19.040362811791383,38,17,299,1,295
55,4,213,17.972244897959182,19.89950113378685,38,17,225,2,209
56,4,403,17.972244897959182,20.54965986394558,38,20,414,3,399
57,4,473,17.972244897959182,19.99238095238095,38,15,477,2,469
58,4,213,18.854603174603174,19.89950113378685,39,17,214,1,209
59,4,403,18.854603174603174,20.54965986394558,39,20,406,2,399
60,4,401,18.854603174603174,21.106938775510205,39,14,409,2,397
61,4,473,18.854603174603174,19.99238095238095,39,15,472,1,469
62,7,6,19.667301587301587,21.873197278911565,38,38,95,2,1
63,7,6,19.667301587301587,22.31437641723356,38,39,114,3,1
64,7,401,19.667301587301587,21.106938775510205,38,14,399,1,394
65,7,249,19.667301587301587,22.128616780045352,38,17,264,2,242
66,4,6,20.59609977324263,21.873197278911565,40,38,55,1,2
67,4,6,20.59609977324263,22.31437641723356,40,39,74,2,2
68,4,51,20.59609977324263,23.45215419501134,40,38,132,3,47
69,4,249,20.59609977324263,22.128616780045352,40,17,254,2,245
70,6,51,21.873197278911565,23.45215419501134,38,38,82,2,45
71,6,342,21.873197278911565,23.91655328798186,38,20,347,2,336
72,6,51,22.31437641723356,23.45215419501134,39,38,67,1,45
73,6,342,22.31437641723356,23.91655328798186,39,20,343,2,336
74,6,387,22.31437641723356,25.031111111111112,39,23,399,3,381
75,6,410,22.31437641723356,25.031111111111112,39,15,421,3,404
76,51,6,23.45215419501134,24.961451247165535,38,39,79,2,45
77,51,10,23.45215419501134,25.820589569160997,38,38,110,2,41
78,51,387,23.45215419501134,25.031111111111112,38,23,343,2,336
79,51,214,23.45215419501134,25.611609977324264,38,25,188,2,163
80,51,410,23.45215419501134,25.031111111111112,38,15,365,2,359
81,51,539,23.45215419501134,26.261768707482993,38,14,503,3,488
82,6,10,24.961451247165535,26.70294784580499,39,38,75,2,4
83,6,4,24.961451247165535,27.678185941043086,39,37,117,3,2
84,6,227,24.961451247165535,26.795827664399095,39,23,235,2,221
85,6,206,24.961451247165535,27.23700680272109,39,28,223,2,200
86,10,4,25.820589569160997,27.678185941043086,38,37,80,2,6
87,10,206,25.820589569160997,27.23700680272109,38,28,205,1,196
88,10,389,25.820589569160997,28.23546485260771,38,19,393,2,379
89,10,415,25.820589569160997,28.0497052154195,38,15,416,2,405
90,10,4,26.70294784580499,29.442902494331065,38,38,118,3,6
91,10,389,26.70294784580499,28.23546485260771,38,19,385,2,379
92,10,415,26.70294784580499,28.0497052154195,38,15,409,1,405
93,10,412,26.70294784580499,28.908843537414967,38,15,413,2,402
94,4,10,27.678185941043086,28.908843537414967,37,39,53,1,6
95,4,7,27.678185941043086,30.25560090702948,37,39,111,3,3
96,4,384,27.678185941043086,29.860861678004536,37,26,391,2,380
97,4,211,27.678185941043086,30.464580498866212,37,17,239,3,207
98,4,412,27.678185941043086,28.908843537414967,37,15,411,1,408
99,4,410,27.678185941043086,29.860861678004536,37,21,417,2,406
100,10,7,28.908843537414967,30.25560090702948,39,39,58,1,3
101,10,211,28.908843537414967,30.464580498866212,39,17,212,2,201
102,4,23,29.442902494331065,31.90421768707483,38,38,108,2,19
103,4,211,29.442902494331065,30.464580498866212,38,17,212,1,207
104,4,268,29.442902494331065,32.066757369614514,38,21,287,3,264
105,7,23,30.25560090702948,31.90421768707483,39,38,73,2,16
106,7,4,30.25560090702948,32.949115646258505,39,38,116,3,3
107,7,268,30.25560090702948,32.066757369614514,39,21,272,2,261
108,7,239,30.25560090702948,32.949115646258505,39,25,259,3,232
109,23,4,31.90421768707483,32.949115646258505,38,38,49,1,19
110,23,4,31.90421768707483,33.8314739229025,38,38,85,2,19
111,23,4,31.90421768707483,34.73705215419501,38,40,123,3,19
112,23,239,31.90421768707483,32.949115646258505,38,25,221,1,216
113,23,209,31.90421768707483,33.99401360544218,38,26,207,2,186
114,4,209,32.949115646258505,33.99401360544218,38,26,210,1,205
115,4,210,32.949115646258505,35.10857142857143,38,22,226,2,206
116,4,331,32.949115646258505,35.80517006802721,38,22,349,3,327
117,4,18,33.8314739229025,35.9677097505669,38,39,93,2,14
118,4,210,33.8314739229025,35.10857142857143,38,22,213,1,206
119,4,331,33.8314739229025,35.80517006802721,38,22,338,2,327
120,4,491,33.8314739229025,36.80362811791383,38,22,504,3,487
121,4,18,34.73705215419501,35.9677097505669,40,39,55,1,14
122,4,10,34.73705215419501,36.85006802721089,40,37,91,2,6
123,4,331,34.73705215419501,35.80517006802721,40,22,330,1,327
124,4,228,34.73705215419501,36.91972789115646,40,27,243,2,224
125,4,225,34.73705215419501,37.45378684807256,40,26,250,3,221
126,4,491,34.73705215419501,36.80362811791383,40,22,495,2,487
127,4,454,34.73705215419501,37.221587301587306,40,19,463,2,450
128,18,10,35.9677097505669,37.73242630385488,39,37,76,2,8
129,18,225,35.9677097505669,37.45378684807256,39,26,217,1,207
130,18,383,35.9677097505669,38.638004535147395,39,24,383,3,365
131,18,454,35.9677097505669,37.221587301587306,39,19,439,1,436
132,10,383,36.85006802721089,38.638004535147395,37,24,381,2,373
133,10,227,36.85006802721089,39.14884353741497,37,20,239,2,217
134,10,227,37.73242630385488,39.14884353741497,37,20,225,1,217
135,10,6,39.05596371882086,40.84390022675737,39,39,77,2,4
136,10,4,39.05596371882086,41.79591836734694,39,38,118,3,6
137,10,227,39.05596371882086,40.91356009070295,39,25,231,2,217
138,10,255,39.05596371882086,41.33151927437642,39,25,264,2,245
139,10,508,39.05596371882086,41.84235827664399,39,17,512,3,498
