,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,136,105,3.7384126984126986,4.829750566893424,10,11,56,1,31
1,136,52,3.7384126984126986,5.712108843537415,10,17,120,2,84
2,136,52,3.7384126984126986,6.594467120181406,10,19,149,3,84
3,105,52,4.829750566893424,6.594467120181406,11,19,93,2,53
4,52,17,5.712108843537415,7.9412244897959186,17,25,102,2,35
5,52,17,5.712108843537415,8.034104308390022,17,25,106,2,35
6,52,17,6.594467120181406,7.9412244897959186,19,25,68,1,35
7,52,17,6.594467120181406,8.034104308390022,19,25,71,1,35
8,52,15,6.594467120181406,9.427301587301587,19,24,127,3,37
9,52,212,6.594467120181406,8.777142857142858,19,4,186,2,160
10,17,15,7.9412244897959186,9.427301587301587,25,24,64,1,2
11,17,26,7.9412244897959186,10.611519274376418,25,24,115,3,9
12,17,212,7.9412244897959186,10.7740589569161,25,5,230,3,195
13,17,15,8.034104308390022,9.427301587301587,25,24,60,1,2
14,17,26,8.034104308390022,10.611519274376418,25,24,111,3,9
15,17,212,8.034104308390022,10.7740589569161,25,5,228,3,195
16,15,26,9.427301587301587,10.611519274376418,24,24,52,1,11
17,15,13,9.427301587301587,11.633197278911565,24,29,95,2,2
18,15,212,9.427301587301587,10.7740589569161,24,5,205,1,197
19,15,232,9.427301587301587,12.027936507936507,24,4,244,3,217
20,26,13,10.611519274376418,11.633197278911565,24,29,46,1,13
21,26,20,10.611519274376418,12.79419501133787,24,29,94,2,6
22,26,232,10.611519274376418,12.027936507936507,24,4,215,1,206
23,26,248,10.611519274376418,13.444353741496599,24,14,253,3,222
24,13,20,11.633197278911565,12.79419501133787,29,29,50,1,7
25,13,20,11.633197278911565,13.699773242630386,29,27,89,2,7
26,13,20,11.633197278911565,14.001632653061225,29,22,102,2,7
27,13,248,11.633197278911565,13.444353741496599,29,14,248,2,235
28,13,437,11.633197278911565,13.978412698412699,29,1,436,2,424
29,13,437,11.633197278911565,14.001632653061225,29,2,436,2,424
30,20,437,12.79419501133787,13.978412698412699,29,1,420,1,417
31,20,437,12.79419501133787,14.001632653061225,29,2,420,1,417
32,20,9,13.699773242630386,15.789569160997733,27,35,91,2,11
33,20,17,13.699773242630386,15.998548752834468,27,30,99,2,3
34,20,206,13.699773242630386,15.928888888888888,27,3,209,2,186
35,20,207,13.699773242630386,16.416507936507937,27,8,221,3,187
36,20,9,14.001632653061225,15.789569160997733,22,35,78,2,11
37,20,17,14.001632653061225,15.998548752834468,22,30,86,2,3
38,20,206,14.001632653061225,15.928888888888888,22,3,204,2,186
39,20,207,14.001632653061225,16.416507936507937,22,8,214,2,187
40,9,206,15.789569160997733,17.87936507936508,35,7,217,2,197
41,9,207,15.789569160997733,18.36698412698413,35,10,227,3,198
42,17,9,15.998548752834468,17.670385487528346,30,35,72,2,8
43,17,9,15.998548752834468,18.274104308390022,30,31,98,2,8
44,17,206,15.998548752834468,17.87936507936508,30,7,206,2,189
45,17,207,15.998548752834468,18.36698412698413,30,10,216,2,190
46,9,13,17.670385487528346,19.87628117913832,35,34,95,2,4
47,9,13,17.670385487528346,20.108480725623583,35,35,105,2,4
48,9,246,17.670385487528346,19.574421768707484,35,9,251,2,237
49,9,306,17.670385487528346,20.038820861678005,35,12,314,2,297
50,9,13,18.274104308390022,19.87628117913832,31,34,69,2,4
51,9,13,18.274104308390022,20.108480725623583,31,35,79,2,4
52,9,246,18.274104308390022,19.574421768707484,31,9,244,1,237
53,9,306,18.274104308390022,20.038820861678005,31,12,307,2,297
54,13,9,19.87628117913832,21.73387755102041,34,35,80,2,4
55,13,248,19.87628117913832,21.292698412698414,34,14,243,1,235
56,13,206,19.87628117913832,22.825215419501134,34,3,231,3,193
57,13,9,20.108480725623583,21.73387755102041,35,35,70,2,4
58,13,17,20.108480725623583,22.96453514739229,35,31,123,3,4
59,13,248,20.108480725623583,21.292698412698414,35,14,240,1,235
60,13,206,20.108480725623583,22.825215419501134,35,3,226,3,193
61,9,17,21.73387755102041,22.96453514739229,35,31,54,1,8
62,9,20,21.73387755102041,23.986213151927437,35,37,98,2,11
63,9,20,21.73387755102041,24.009433106575965,35,38,99,2,11
64,9,206,21.73387755102041,22.825215419501134,35,3,203,1,197
65,9,305,21.73387755102041,23.84689342403628,35,13,310,2,296
66,9,440,21.73387755102041,23.173514739229024,35,11,435,1,431
67,17,20,22.96453514739229,23.986213151927437,31,37,44,1,3
68,17,20,22.96453514739229,24.009433106575965,31,38,45,1,3
69,17,20,22.96453514739229,25.843809523809526,31,39,124,3,3
70,17,229,22.96453514739229,24.752471655328797,31,14,226,2,212
71,17,428,22.96453514739229,24.822131519274375,31,5,419,2,411
72,17,439,22.96453514739229,25.93668934240363,31,6,441,3,422
73,20,259,23.986213151927437,25.98312925170068,37,18,254,2,239
74,20,259,23.986213151927437,26.006349206349206,37,15,254,2,239
75,20,439,23.986213151927437,25.93668934240363,37,6,427,2,419
76,20,419,23.986213151927437,26.610068027210886,37,7,415,3,399
77,20,259,24.009433106575965,25.98312925170068,38,18,254,2,239
78,20,259,24.009433106575965,26.006349206349206,38,15,254,2,239
79,20,439,24.009433106575965,25.93668934240363,38,6,427,2,419
80,20,419,24.009433106575965,26.610068027210886,38,7,414,3,399
81,20,80,25.843809523809526,27.028027210884353,39,32,79,1,60
82,20,17,25.843809523809526,28.606984126984127,39,34,119,3,3
83,20,254,25.843809523809526,27.00480725623583,39,6,239,1,234
84,20,480,25.843809523809526,27.46920634920635,39,3,465,2,460
85,20,17,26.029569160997735,28.606984126984127,37,34,111,3,3
86,20,480,26.029569160997735,27.46920634920635,37,3,464,1,460
87,80,17,27.028027210884353,28.606984126984127,32,34,93,2,63
88,80,17,27.028027210884353,29.071383219954647,32,34,108,2,63
89,17,20,28.606984126984127,30.162721088435376,34,22,67,2,3
90,17,21,28.606984126984127,31.55591836734694,34,37,127,3,4
91,17,20,29.071383219954647,30.162721088435376,34,22,47,1,3
92,17,21,29.071383219954647,31.55591836734694,34,37,107,2,4
93,17,274,29.071383219954647,31.857777777777777,34,10,284,3,257
94,20,21,30.162721088435376,31.55591836734694,22,37,60,1,1
95,20,26,30.162721088435376,32.298956916099776,22,36,92,2,6
96,20,274,30.162721088435376,31.857777777777777,22,10,264,2,254
97,20,211,30.162721088435376,32.298956916099776,22,23,212,2,191
98,20,453,30.162721088435376,32.97233560090703,22,7,450,3,433
99,20,412,30.162721088435376,32.995555555555555,22,6,411,3,392
100,21,20,31.55591836734694,33.94757369614513,37,36,103,2,1
101,21,26,31.55591836734694,34.365532879818595,37,38,121,3,5
102,21,261,31.55591836734694,33.90113378684807,37,13,260,2,240
103,21,205,31.55591836734694,34.202993197278914,37,16,216,3,184
104,21,453,31.55591836734694,32.97233560090703,37,7,436,1,432
105,21,412,31.55591836734694,32.995555555555555,37,6,396,1,391
106,26,20,32.298956916099776,33.94757369614513,36,36,71,2,6
107,26,261,32.298956916099776,33.90113378684807,36,13,245,2,235
108,26,205,32.298956916099776,34.202993197278914,36,16,197,2,179
109,26,410,32.298956916099776,34.73705215419501,36,1,398,2,384
110,20,15,33.94757369614513,35.619410430839004,36,35,72,2,5
111,20,222,33.94757369614513,35.50331065759637,36,4,213,2,202
112,26,15,34.365532879818595,35.619410430839004,38,35,55,1,11
113,26,20,34.365532879818595,36.78040816326531,38,36,104,2,6
114,26,21,34.365532879818595,37.105487528344675,38,37,118,3,5
115,26,222,34.365532879818595,35.50331065759637,38,4,202,1,196
116,26,248,34.365532879818595,36.96616780045352,38,14,249,3,222
117,26,328,34.365532879818595,37.01260770975057,38,11,323,3,302
118,15,20,35.619410430839004,36.78040816326531,35,36,50,1,5
119,15,21,35.619410430839004,37.105487528344675,35,37,64,1,6
120,15,248,35.619410430839004,36.96616780045352,35,14,240,1,233
121,15,328,35.619410430839004,37.01260770975057,35,11,319,1,313
122,20,26,36.78040816326531,38.98630385487528,36,39,95,2,6
123,20,26,36.78040816326531,39.00952380952381,36,39,96,2,6
124,20,311,36.78040816326531,38.98630385487528,36,18,306,2,291
125,20,312,36.78040816326531,39.19528344671202,36,20,310,2,292
126,20,466,36.78040816326531,38.98630385487528,36,3,456,2,446
127,20,443,36.78040816326531,39.172063492063494,36,12,435,2,423
128,21,26,37.105487528344675,38.98630385487528,37,39,81,2,5
129,21,26,37.105487528344675,39.00952380952381,37,39,82,2,5
130,21,311,37.105487528344675,38.98630385487528,37,18,301,2,290
131,21,312,37.105487528344675,39.19528344671202,37,20,305,2,291
132,21,466,37.105487528344675,38.98630385487528,37,3,452,2,445
133,21,443,37.105487528344675,39.172063492063494,37,12,431,2,422
134,26,29,38.98630385487528,40.26340136054422,39,40,55,1,3
135,26,243,38.98630385487528,40.47238095238095,39,18,226,1,217
136,26,231,38.98630385487528,41.703038548752836,39,14,236,3,205
137,26,468,38.98630385487528,41.517278911564624,39,6,455,3,442
138,26,29,39.00952380952381,40.26340136054422,39,40,54,1,3
139,26,243,39.00952380952381,40.47238095238095,39,18,226,1,217
140,26,231,39.00952380952381,41.703038548752836,39,14,236,3,205
141,26,468,39.00952380952381,41.517278911564624,39,6,455,3,442
142,29,26,40.26340136054422,41.517278911564624,40,39,54,1,3
143,29,31,40.26340136054422,42.26031746031746,40,40,86,2,2
144,29,231,40.26340136054422,41.703038548752836,40,14,211,1,202
145,29,275,40.26340136054422,42.49251700680272,40,12,264,2,246
146,29,468,40.26340136054422,41.517278911564624,40,6,442,1,439
147,26,23,41.517278911564624,43.97859410430839,39,35,106,2,3
148,26,210,41.517278911564624,43.83927437641724,39,13,209,2,184
149,26,410,41.517278911564624,43.932154195011336,39,8,398,2,384
150,26,437,41.517278911564624,44.39655328798186,39,3,429,3,411
151,31,23,42.26031746031746,43.97859410430839,40,35,74,2,8
152,31,21,42.26031746031746,44.74485260770975,40,36,107,2,10
